Цвет,белый
"Пробег, км",218 000
Руль,левый
Поколение,2 поколение
"Продажа BMW X1, 2011 год в Омске",1 050 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"150 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,коричневый
"Пробег, км",242 000
Руль,левый
Поколение,1 поколение
"Продажа BMW 7-Series, 1994 год в Екатеринбурге",355 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"218 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,черный
"Пробег, км",496 000
Руль,левый
Поколение,3 поколение
Комплектация,730i AT
"Продажа BMW 3-Series, 2010 год в Тюмени",1 150 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"272 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",84 523
Руль,левый
Поколение,"5 поколение, рестайлинг"
"Продажа BMW 3-Series, 2010 год в Миассе",1 150 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"156 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,серый
"Пробег, км",207 000
Руль,левый
Поколение,"5 поколение, рестайлинг"
"Продажа BMW X1, 2011 год в Челябинске",980 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"150 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,черный
"Пробег, км",148 000
Руль,левый
Поколение,1 поколение
Комплектация,sDrive 18i AT Urban 
"Продажа BMW 3-Series, 2006 год в Екатеринбурге",539 000 ₽,Двигатель,"бензин, 2.5 л"
Мощность,"218 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,серебристый
"Пробег, км",250 000
Руль,левый
Поколение,5 поколение
"Продажа BMW X6, 2015 год в Москве",2 722 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,коричневый
"Пробег, км",177 299
Руль,левый
Поколение,2 поколение
"Продажа BMW 3-Series, 1999 год в Балашихе",340 000 ₽,Двигатель,"бензин, 1.9 л"
Мощность,"105 л.с., налог"
Коробка передач,механика
Привод,задний
Тип кузова,седан
Цвет,черный
"Пробег, км",340 000
Руль,левый
Поколение,4 поколение
"Продажа BMW 5-Series, 1989 год в Улан-Удэ",90 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"129 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,черный
"Пробег, км",200 000
Руль,левый
Особые отметки,требуется ремонт или не на ходу
"Продажа BMW 7-Series, 2011 год в Тюмени",1 599 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"407 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,черный
"Пробег, км",144 001
Руль,левый
Поколение,5 поколение
"Продажа BMW 5-Series, 2013 год в Тюмени",2 149 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"258 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,черный
"Пробег, км",201 150
Руль,левый
Поколение,"6 поколение, рестайлинг"
"Продажа BMW X6, 2009 год в Благовещенске",1 650 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"555 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",130 000
Руль,левый
Поколение,1 поколение
Комплектация,4.4 AT M
"Продажа BMW 3-Series, 2011 год в Санкт-Петербурге",650 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"136 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,черный
"Пробег, км",225 000
Руль,левый
Поколение,"5 поколение, рестайлинг"
"Продажа BMW X5, 2007 год в Ростове-на-Дону",1 250 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"272 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Руль,левый
Поколение,2 поколение
"Продажа BMW X5, 2022 год в Екатеринбурге",13 499 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"340 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",5 696
Руль,левый
Поколение,4 поколение
"Продажа BMW X5, 2009 год в Краснодаре",1 380 000 ₽,Двигатель,"бензин, 4.8 л"
Мощность,"355 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,белый
"Пробег, км",210 000
Руль,левый
Поколение,2 поколение
"Продажа BMW X5, 2002 год в Краснодаре",599 000 ₽,Двигатель,"бензин, 4.6 л"
Мощность,"347 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",300 000
